CN,PLT_CN,INVYR,STATECD,COUNTYCD,PLOT,TRANSECT,SUBP,SMPLOCCD,MEASYEAR,CONDID,DUFFDEP,LITTDEP,FUELDEP,CREATED_BY,CREATED_DATE,CREATED_IN_INSTANCE,MODIFIED_BY,MODIFIED_DATE,MODIFIED_IN_INSTANCE,DLF_SAMPLE_METHOD,DUFF_METHOD,DUFF_NONSAMPLE_REASN_CD,LITTER_METHOD,LITTER_NONSAMPLE_REASN_CD,FUELBED_METHOD,FUELBED_NONSAMPLE_REASN_CD,DL_STATUS_CD
76432277010538,52866238010538,2001,23,3,1943,150,1,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432281010538,52866238010538,2001,23,3,1943,150,2,2,2001,1,3.6,3.6,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432285010538,52866238010538,2001,23,3,1943,150,3,2,2001,1,6.0,0.0,2.6,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432289010538,52866238010538,2001,23,3,1943,150,4,2,2001,1,3.6,0.0,1.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432279010538,52866238010538,2001,23,3,1943,270,1,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432291010538,52866238010538,2001,23,3,1943,270,4,2,2001,1,15.6,0.0,3.0,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:31,489998,1,1,,1,,1,,
76432357010538,52872968010538,2001,23,7,1008,30,2,2,2001,1,4.8,0.0,0.4,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432361010538,52872968010538,2001,23,7,1008,30,3,2,2001,1,3.4,1.4,0.4,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432351010538,52872968010538,2001,23,7,1008,150,1,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432355010538,52872968010538,2001,23,7,1008,150,2,2,2001,1,1.2,0.0,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432359010538,52872968010538,2001,23,7,1008,150,3,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432363010538,52872968010538,2001,23,7,1008,150,4,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432353010538,52872968010538,2001,23,7,1008,270,1,2,2001,1,1.2,0.0,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432365010538,52872968010538,2001,23,7,1008,270,4,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:34,489998,1,1,,1,,1,,
76432187010538,52872861010538,2001,23,7,1144,30,2,2,2001,1,3.2,0.4,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432191010538,52872861010538,2001,23,7,1144,30,3,2,2001,1,2.4,0.0,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432181010538,52872861010538,2001,23,7,1144,150,1,2,2001,1,4.3,0.5,0.4,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432185010538,52872861010538,2001,23,7,1144,150,2,2,2001,1,4.8,1.2,0.5,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432189010538,52872861010538,2001,23,7,1144,150,3,2,2001,1,1.2,0.0,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432193010538,52872861010538,2001,23,7,1144,150,4,2,2001,1,3.6,0.0,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432183010538,52872861010538,2001,23,7,1144,270,1,2,2001,1,2.2,0.2,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432195010538,52872861010538,2001,23,7,1144,270,4,2,2001,1,4.3,0.5,0.4,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432171010538,52869464010538,2001,23,7,1942,30,2,2,2001,1,1.9,0.5,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432175010538,52869464010538,2001,23,7,1942,30,3,2,2001,1,2.4,0.0,0.2,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432165010538,52869464010538,2001,23,7,1942,150,1,2,2001,1,2.2,1.4,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432169010538,52869464010538,2001,23,7,1942,150,2,2,2001,1,0.8,0.4,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432173010538,52869464010538,2001,23,7,1942,150,3,2,2001,1,3.2,0.4,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432177010538,52869464010538,2001,23,7,1942,150,4,2,2001,1,3.2,0.4,0.3,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432167010538,52869464010538,2001,23,7,1942,270,1,2,2001,1,1.2,0.0,0.4,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432179010538,52869464010538,2001,23,7,1942,270,4,2,2001,1,1.1,0.1,0.1,NIMS,2007-11-19 11:54:38,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432015010538,52877779010538,2001,23,9,1569,30,3,2,2001,1,6.5,0.7,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432011010538,52877779010538,2001,23,9,1569,30,2,2,2001,1,1.2,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432005010538,52877779010538,2001,23,9,1569,150,1,2,2001,1,2.2,1.4,0.2,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432009010538,52877779010538,2001,23,9,1569,150,2,2,2001,1,4.8,1.2,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432013010538,52877779010538,2001,23,9,1569,150,3,2,2001,1,7.6,0.8,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432017010538,52877779010538,2001,23,9,1569,150,4,2,2001,1,9.6,2.4,0.2,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432007010538,52877779010538,2001,23,9,1569,270,1,2,2001,1,2.9,0.7,0.5,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432019010538,52877779010538,2001,23,9,1569,270,4,2,2001,1,5.8,1.4,0.2,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:33,489998,1,1,,1,,1,,
76432027010538,52875595010538,2001,23,9,1720,30,2,2,2001,1,5.9,2.5,0.9,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432031010538,52875595010538,2001,23,9,1720,30,3,2,2001,1,1.1,0.1,0.2,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432021010538,52875595010538,2001,23,9,1720,150,1,2,2001,1,5.4,0.6,0.7,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432025010538,52875595010538,2001,23,9,1720,150,2,2,2001,1,2.2,0.2,0.2,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432029010538,52875595010538,2001,23,9,1720,150,3,2,2001,1,3.6,2.4,0.9,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432033010538,52875595010538,2001,23,9,1720,150,4,2,2001,1,3.4,1.4,0.6,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432023010538,52875595010538,2001,23,9,1720,270,1,2,2001,1,5.4,0.6,0.5,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432035010538,52875595010538,2001,23,9,1720,270,4,2,2001,1,1.7,0.7,0.4,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432043010538,52877916010538,2001,23,9,1769,30,2,2,2001,1,14.0,1.6,0.3,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432047010538,52877916010538,2001,23,9,1769,30,3,2,2001,1,20.2,0.2,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432037010538,52877916010538,2001,23,9,1769,150,1,2,2001,1,20.4,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432041010538,52877916010538,2001,23,9,1769,150,2,2,2001,1,0.0,0.0,0.0,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
76432045010538,52877916010538,2001,23,9,1769,150,3,2,2001,1,29.7,0.3,0.1,NIMS,2007-11-19 11:54:39,10661,MAHATFIELD,2014-05-14 15:56:32,489998,1,1,,1,,1,,
